label,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11
6,149,149,150,150,150,151,151,150,151,152,152
5,126,128,131,132,133,134,135,135,136,138,137
10,85,88,92,96,105,123,135,143,147,152,157
0,203,205,207,206,207,209,210,209,210,209,208
3,188,191,193,195,199,201,202,203,203,203,204
21,72,79,87,101,115,124,131,135,139,142,144
10,93,100,112,118,123,127,131,133,136,139,140
14,177,177,177,177,177,178,179,179,178,179,179
3,191,194,196,198,201,203,204,205,205,205,205
7,171,172,172,173,173,173,173,173,172,172,172
8,212,212,213,212,214,213,213,213,214,215,214
8,187,186,187,186,188,187,187,187,188,188,188
21,128,131,133,135,137,139,140,142,145,146,146
12,178,179,181,183,184,183,183,184,185,186,185
7,119,120,120,121,120,120,120,119,119,120,120
4,191,192,192,192,192,193,193,193,193,192,193
